name,functions,color,precision,company,productURL,photoURL,oversampling,favorite,rating,status,notes
Supermassive,,,,Valhalla,https://valhalladsp.com/shop/reverb/valhalla-supermassive/,Valhalla_Supermassive.png,FALSE,TRUE,4,Active,"ValhallaSupermassive%20has%20been%20designed%20from%20the%20ground%20up%20for%20MASSIVE%20delays%20and%20reverbs.%20%20%20Get%20ready%20for%20luscious%20clouds%20of%20reverb,%20otherworldly%20delays,%20and%20swelling%20waves%20of%20feedback%20unlike%20any%20you%EF%BF%BDve%20heard%20before.%0A%0ASupermassive%20has%2016%20out-of-this-world%20reverb/delay%20modes:%0A%0AGemini:%20Fast%20attack,%20shorter%20decay,%20high%20echo%20density.%0AHydra:%20Fast-ish%20attack,%20shorter%20decay,%20low%20to%20high%20echo%20density%20(depending%20on%20the%20DENSITY%20control%20setting)%0ACentaurus:%20Medium%20attack,%20longer%20decay,%20medium%20to%20high%20echo%20density%20(depending%20on%20the%20DENSITY%20control%20setting)%0ASagittarius:%20Slow%20attack,%20longer%20decay,%20high%20echo%20density%0AGreat%20Annihilator:%20Medium%20attack,%20very%20long%20decay,%20medium%20to%20high%20echo%20density%20(depending%20on%20the%20DENSITY%20control%20setting)%0AAndromeda:%20Slowest%20attack,%20very%20long%20decay,%20very%20high%20echo%20density%0ALyra:%20Fast%20attack,%20shorter%20decay,%20low%20echo%20density%0ACapricorn:%20Fast%20attack,%20shorter%20decay,%20medium%20echo%20density%0ALarge%20Magellanic%20Cloud:%20Long%20reverb,%20LOOOONG%20repeating%20echoes,%20long%20decay,%20medium%20attack%0ATriangulum:%20Long%20reverb,%20VERY%20LONG%20repeating%20echoes,%20long%20decay,%20slow%20attack%0ACirrus%20Major:%20Low/medium%20echo%20density,%20strange%20repeating%20patterns,%20fast%20attack%0ACirrus%20Minor:%20Low%20echo%20density,%20strange%20repeating%20patterns,%20fast%20attack,%20smaller%20than%20Cirrus%20Major%0ACassiopeia:%20Initially%20low%20echo%20density%20that%20quickly%20builds%20to%20long%20and%20lush%20reverbs,%20mysterious%20repeating%20patterns,%20fast%20attack%0AOrion:%20the%20much%20bigger%20version%20of%20Cassiopeia.%20Low%20echo%20density%20that%20can%20build%20to%20enormous%20reverbs,%20fast%20attack,%20strange%20resonances%20and%20repeating%20patterns.%0AAquarius%20(New%20in%202.0.0):%20a%20dedicated%20EchoVerb%20algorithm,%20with%20a%20strong%20audible%20echo/de;au%20that%20can%20morph%20into%20a%20lush%20reverb%20with%20higher%20DENSITY%20settings%0APisces%20(New%20in%202.0.0):%20the%20bigger%20sibling%20of%20Aquarius.%20EchoVerb,%20with%20even%20denser%20and%20lusher%20reverbs%20on%20tap%20than%20Aquarius."
SuperTap,,,,Waves,https://www.waves.com/plugins/supertap,Waves_SuperTap.png,FALSE,-,3,Active,-
Surge,,,,Surge,https://surge-synthesizer.github.io,Surge_Surge.png,FALSE,-,3,Active,"Shortcircuit%20was%20created%20as%20a%20reaction%20against%20the%20ongoing%20trend%20where%20software%20samplers%20are%20being%20designed%20with%20the%20primary%20intent%20of%20library%20playback.%0A%0AIt%20is%20intended%20for%20people%20who,%20like%20us,%20consider%20a%20sampler%20to%20be%20a%20musical%20instrument%20in%20its%20own%20right,%20and%20not%20just%20a%20way%20to%20emulate%20other%20instruments.%20It%20has%20been%20a%20very%20high%20priority%20to%20make%20sure%20that%20adding%20and%20editing%20individual%20samples%20is%20as%20fast%20and%20logical%20as%20possible."
TAL-NoiseMaker,,,,Tal,https://tal-software.com/products/tal-noisemaker,Tal_TAL-NoiseMaker.png,FALSE,TRUE,3,Active,"TAL-NoiseMaker%20is%20a%20virtual%20analog%20synthesizer%20with%20a%20great%20sound%20and%20low%20CPU%20usage.%0A128%20factory%20presets%20included,%2080%20made%20by%20Frank%20%22Xenox%22%20Neumann%20/%20Particular%20-%20Sound"
TAN,,,,Acoustica Audio,https://www.audiopluginsforfree.com/tan-free/,Acoustica-Audio_TAN.png,FALSE,-,3,Active,"Acustica%20is%20pleased%20to%20introduce%20TAN%20compressor%20based%20on%20CORE8%20with%20a%20classic%20analog%20VCA%20compression.%20TAN%20it%20is%20a%20very%20versatile%20tool%20to%20provide%20a%20lot%20of%20possibilities%20to%20shape%20the%20sound%20with%20gorgeous%20graphical%20user%20interface.%0A%0AIn%20TAN%20you%20will%20find%20the%20most%20common%20compressors%20parameters%20like%20attack,%20release,%20threshold,%20ratio,%20dry/wet%20and%20gain,%20to%20allow%20you%20an%20extremely%20wide%20range%20of%20adjustments,%20but%20the%20exciting%20news%20is%20what%20we%20call%20%22ShMod%22,%20a%20compressor%20shape%20control%20for%20the%20attack%20behavior%20that%20allows%20you%20to%20fine-tune%20the%20attack%20shape%20so%20you%20can%20really%20customize%20the%20attack%20behavior%20for%20any%20audio%20source."
Tape,,,,Softube,https://www.softube.com/tape,Softube_Tape.png,FALSE,TRUE,5,Active,"Tape,%20with%20its%20component-level%20and%20physical%20modeling%20of%20three%20different%20tape%20machines,%20gives%20you%20all%20the%20warm%20vintage%20cohesion%20you%20could%20want%20in%20one%20plug-in.%20Add%20a%20few%20premium%20level%20features,%20like%20the%20mastering%20grade%20high%20shelf%20filter,%20stability%20control,%20and%20wet/dry%20mix%20knob,%20and%20you've%20got%20a%20new%20secret%20sauce."
Tape Cassette 2,,,,Caelum Audio,https://i.imgur.com/B4C7xG2.png,Caelum-Audio_Tape-Cassette-2.png,FALSE,TRUE,3,Active,"Tape%20Cassette%202%20is%20an%20audio%20plugin%20that%20emulates%20the%20warmth,%20noise%20and%20character%20of%20old%20tape%20cassettes.%20Following%20up%20from%20our%20well%20received%20Tape%20Cassette%201,%20we've%20updated%20the%20plugin%20with%20a%20sleek%20interface%20and%20more%20changes%20under%20the%20hood%20too.%0A%0AAlong%20with%20a%20brand%20new%20selectable%20Type%201%20Cassette%20Impulse%20Response%20(IR),%20we've%20improved%20the%20saturation%20algorithm,%20wow%20&%20flutter%20engine%20and%20implemented%20real%20sampled%20tape%20noise,%20all%20which%20results%20in%20a%20wonderfully%20warm%20and%20more%20accurate%20vintage%20sound.%20In%20addition%20to%20this%20you%20now%20have%20two%20VU%20meters%20to%20monitor%20your%20audio%20as%20well%20as%20selectable%20oversampling."
Tape MELLO-FI,,,,Arturia,https://www.arturia.com/products/software-effects/tape-mello-fi/overview,Arturia_Tape-MELLO-FI.png,FALSE,-,3,Active,"Tape%20MELLO-FI%20is%20an%20easy-to-use%20plugin%20that%20brings%20instant%20chill%20atmosphere%20and%20vintage%20tape-aged%20warmth%20to%20any%20sound.%20Use%20its%20straightforward%20preamp,%20modulation%20and%20filter/output%20sections%20to%20sprinkle%20sublime%20lo-fi%20vibes%20over%20any%20sounds."
Tape Multi Track,,,,Softube,https://www.softube.com/tape,Softube_Tape-Multi-Track.png,FALSE,-,3,Active,"Tape,%20with%20its%20component-level%20and%20physical%20modeling%20of%20three%20different%20tape%20machines,%20gives%20you%20all%20the%20warm%20vintage%20cohesion%20you%20could%20want%20in%20one%20plug-in.%20Add%20a%20few%20premium%20level%20features,%20like%20the%20mastering%20grade%20high%20shelf%20filter,%20stability%20control,%20and%20wet/dry%20mix%20knob,%20and%20you've%20got%20a%20new%20secret%20sauce."
TiCo,,,,Matthew Lane,https://www.mathewlane.com/plugins/tico/,Matthew-Lane_TiCo.png,FALSE,TRUE,5,Active,"TiCo%20is%20designed%20to%20get%20great%20results%20fast.%20It%EF%BF%BDs%20a%20go-to%20signal%20processor%20for%20that%20modern%20pop%20sound,%20and%20might%20quickly%20become%20your%20everyday%20all-round%20compressor%20and%20sound%20shaper.%20With%20its%20clear%20interface,%20it%20does%20not%20confuse%20with%20an%20abundance%20of%20options,%20but%20lets%20you%20focus%20on%20your%20music%20itself."
